cluster,model,tts
external-cindex,qwen_32b,0.6561557064402488
external-cindex,qwen_8b,0.5865994044349148
external-cindex,qwq_32b,0.5985232873087124
external-cindex,r1_qwen_32b,0.6691695035554612
external-cindex,r1_qwen_7b,0.588579419419032
external-1yr-survival,qwen_32b,0.6697764909884631
external-1yr-survival,qwen_8b,0.6047226802444157
external-1yr-survival,qwq_32b,0.6035117738464855
external-1yr-survival,r1_qwen_32b,0.6815181346404382
external-1yr-survival,r1_qwen_7b,0.6072525715047932
external-3yr-survival,qwen_32b,0.6576563444608746
external-3yr-survival,qwen_8b,0.5864692824052248
external-3yr-survival,qwq_32b,0.5966311395045572
external-3yr-survival,r1_qwen_32b,0.6700353521518866
external-3yr-survival,r1_qwen_7b,0.5894193888347972
external-5yr-survival,qwen_32b,0.6561179842683174
external-5yr-survival,qwen_8b,0.5866309664230354
external-5yr-survival,qwq_32b,0.5982727192422439
external-5yr-survival,r1_qwen_32b,0.6691368550002325
external-5yr-survival,r1_qwen_7b,0.5884321343073531
internal-cindex,qwen_32b,0.6873060676333029
internal-cindex,qwen_8b,0.6224422790127505
internal-cindex,qwq_32b,0.6583931084838047
internal-cindex,r1_qwen_32b,0.6796342710797749
internal-cindex,r1_qwen_7b,0.6068204505159763
internal-1yr-survival,qwen_32b,0.7293296987962007
internal-1yr-survival,qwen_8b,0.6447093216847546
internal-1yr-survival,qwq_32b,0.6988595845127242
internal-1yr-survival,r1_qwen_32b,0.714211378810197
internal-1yr-survival,r1_qwen_7b,0.6322433849315999
internal-3yr-survival,qwen_32b,0.6982856015866282
internal-3yr-survival,qwen_8b,0.6282615182291379
internal-3yr-survival,qwq_32b,0.6700604264549594
internal-3yr-survival,r1_qwen_32b,0.6910049127328958
internal-3yr-survival,r1_qwen_7b,0.6127379402361205
internal-5yr-survival,qwen_32b,0.6910119992218111
internal-5yr-survival,qwen_8b,0.6256843318750331
internal-5yr-survival,qwq_32b,0.6616241392236709
internal-5yr-survival,r1_qwen_32b,0.6835556959725511
internal-5yr-survival,r1_qwen_7b,0.6093571088284704
