Cohort,Method,Metric,Estimate,CI_lower_95,CI_upper_95,P_value_vs_Our
Internal (seer),Our model,C-index,,,,
Internal (seer),Our model,AUROC,0.7324969762521605,0.6633643651117606,0.8016295873925604,
Internal (seer),TNM,C-index,,,,
Internal (seer),TNM,AUROC,0.6611063811128123,0.5986715199462399,0.7235412422793847,0.0017669632544832226
Internal (seer),BCLC,C-index,,,,
Internal (seer),BCLC,AUROC,0.6917375861905162,0.6286729573249035,0.7548022150561289,0.07295194919611014
Internal (seer),CNLC,C-index,,,,
Internal (seer),CNLC,AUROC,0.669519890962374,0.605243637628618,0.7337961442961299,0.003525003413776151
Internal (seer),XGB,C-index,,,,
Internal (seer),XGB,AUROC,,,,
Internal (seer),SVM,C-index,,,,
Internal (seer),SVM,AUROC,,,,
Internal (seer),Bayes,C-index,,,,
Internal (seer),Bayes,AUROC,,,,
Internal (seer),MLP,C-index,,,,
Internal (seer),MLP,AUROC,,,,
