=== Log-rank p-values ===
Overall (multi-group): p = 0.00213548

Pairwise (raw | Bonferroni adjusted):
BCLC vs CLAUDE: p = 0.0401044 | adj = 1
BCLC vs CNLC: p = 0.14652 | adj = 1
BCLC vs DEEPSEEK-r1: p = 0.0033361 | adj = 0.0934108
BCLC vs GEMINI-2.5-pro: p = 0.00519348 | adj = 0.145418
BCLC vs GPT-4o: p = 0.0362572 | adj = 1
BCLC vs GPT-5: p = 0.00208647 | adj = 0.0584213
CLAUDE vs DEEPSEEK-r1: p = 0.381113 | adj = 1
CLAUDE vs GEMINI-2.5-pro: p = 0.461339 | adj = 1
CLAUDE vs GPT-4o: p = 0.950012 | adj = 1
CLAUDE vs GPT-5: p = 0.326813 | adj = 1
CNLC vs CLAUDE: p = 0.53783 | adj = 1
CNLC vs DEEPSEEK-r1: p = 0.143493 | adj = 1
CNLC vs GEMINI-2.5-pro: p = 0.178932 | adj = 1
CNLC vs GPT-4o: p = 0.546008 | adj = 1
CNLC vs GPT-5: p = 0.107919 | adj = 1
DEEPSEEK-r1 vs GEMINI-2.5-pro: p = 0.898386 | adj = 1
DEEPSEEK-r1 vs GPT-4o: p = 0.40535 | adj = 1
DEEPSEEK-r1 vs GPT-5: p = 0.909644 | adj = 1
GEMINI-2.5-pro vs GPT-4o: p = 0.479068 | adj = 1
GEMINI-2.5-pro vs GPT-5: p = 0.818883 | adj = 1
GPT-4o vs GPT-5: p = 0.339017 | adj = 1
OURS vs BCLC: p = 2.67757e-05 | adj = 0.000749718
OURS vs CLAUDE: p = 0.03482 | adj = 0.97496
OURS vs CNLC: p = 0.00656945 | adj = 0.183945
OURS vs DEEPSEEK-r1: p = 0.22166 | adj = 1
OURS vs GEMINI-2.5-pro: p = 0.188241 | adj = 1
OURS vs GPT-4o: p = 0.0392365 | adj = 1
OURS vs GPT-5: p = 0.270695 | adj = 1
