cluster,model,tts
external-top1,qwen_32b,0.5746485700436258
external-top1,qwen_8b,0.48618516723218613
external-top1,qwq_32b,0.4369849733397964
external-top1,r1_qwen_32b,0.5201163354338342
external-top1,r1_qwen_7b,0.06131846825012118
external-top2,qwen_32b,0.7852641783809986
external-top2,qwen_8b,0.6400872515753757
external-top2,qwq_32b,0.5814348036839554
external-top2,r1_qwen_32b,0.6686863790596219
external-top2,r1_qwen_7b,0.08894813378574891
external-top3,qwen_32b,0.8213766359670382
external-top3,qwen_8b,0.6793504604944256
external-top3,qwq_32b,0.6066408143480368
external-top3,r1_qwen_32b,0.6951042171594765
external-top3,r1_qwen_7b,0.10397479398933591
internal-top1,qwen_32b,0.8318789994182665
internal-top1,qwen_8b,0.6428155904595695
internal-top1,qwq_32b,0.6323443862710878
internal-top1,r1_qwen_32b,0.6893542757417103
internal-top1,r1_qwen_7b,0.04421175101803374
internal-top2,qwen_32b,0.9144851657940664
internal-top2,qwen_8b,0.7132053519488074
internal-top2,qwq_32b,0.6823734729493892
internal-top2,r1_qwen_32b,0.7620709714950553
internal-top2,r1_qwen_7b,0.051192553810354854
internal-top3,qwen_32b,0.9319371727748691
internal-top3,qwen_8b,0.7731239092495636
internal-top3,qwq_32b,0.7120418848167539
internal-top3,r1_qwen_32b,0.8010471204188482
internal-top3,r1_qwen_7b,0.058173356602675974
